Diameter (km), Depth (km)
4.774003, 0.575835
10.351551, 2.087404
8.319055, 1.419023
14.156573, 2.272494
4.726736, 0.781491
4.419498, 0.616967
7.680945, 0.874036
9.737075, 1.542416
4.844904, 0.760925
10.895126, 0.421594
10.587888, 1.809769
6.026588, 0.771208
9.997046, 0.678663
4.017725, 0.596401
8.342688, 1.429306
6.357459, 1.079692
10.635155, 2.097686
7.680945, 0.894602
8.319055, 0.442159
4.064993, 0.586118
4.986706, 0.771208
4.561300, 0.719794
6.262925, 0.802057
6.144756, 0.997429
5.364845, 0.802057
6.002954, 0.966581
11.982275, 1.203085
4.537666, 0.658098
7.539143, 1.017995
7.562777, 0.946015
10.020679, 1.789203
12.407681, 1.943445
4.797637, 0.586118
6.830133, 0.616967
12.454948, 1.182519
13.991137, 2.149100
5.483013, 0.812339
11.793205, 1.902314
10.351551, 1.871465
5.837518, 0.596401
9.288035, 0.966581
7.846381, 1.079692
5.104874, 0.555270
11.273264, 1.634961
10.800591, 1.357326
7.184638, 0.863753
4.915805, 0.544987
7.799114, 0.976864
6.286558, 0.802057
4.324963, 0.719794
6.782866, 1.007712
6.499261, 1.059126
5.719350, 0.946015
5.435746, 0.339332
4.348597, 0.658098
4.112260, 0.627249
7.822747, 0.719794
7.846381, 1.110540
10.186115, 1.789203
5.553914, 0.575835
10.847858, 1.521851
12.809453, 0.493573
4.183161, 0.555270
4.254062, 0.709512
10.351551, 1.254499
5.010340, 0.771208
13.802068, 2.200514
6.121123, 0.976864
12.573117, 2.262211
6.735598, 1.161954
5.341211, 0.832905
12.525849, 2.251928
5.695716, 0.524422
8.224520, 0.915167
7.113737, 1.182519
14.912851, 1.069409
5.081241, 0.658098
5.577548, 0.802057
5.908419, 0.956298
5.506647, 0.853470
4.159527, 0.483290
9.500739, 1.203085
5.199409, 0.586118
12.194978, 1.305913
9.122600, 0.874036
6.428360, 0.802057
7.799114, 1.264781
8.200886, 0.760925
7.964549, 0.894602
8.271787, 1.398458
9.098966, 1.285347
7.846381, 1.079692
4.514032, 0.730077
5.979321, 0.431877
4.679468, 0.791774
5.388479, 0.771208
11.935007, 2.169666
5.955687, 0.493573
8.319055, 1.059126
9.429838, 1.634961
12.691285, 1.737789
10.729690, 1.552699
5.506647, 0.853470
5.317578, 0.832905
12.785820, 0.493573
13.305761, 2.097686
7.491876, 1.213368
8.059084, 1.048843
13.683900, 2.241645
5.412112, 0.781491
6.121123, 0.884319
8.649926, 1.295630
11.036928, 2.221080
6.073855, 0.380463
13.849335, 2.478149
6.664697, 1.048843
6.333826, 0.894602
12.005908, 2.478149
6.404727, 0.760925
5.577548, 0.390746
7.610044, 1.264781
4.254062, 0.555270
6.641064, 0.904884
7.704579, 0.411311
9.807976, 1.470437
5.435746, 0.215938
4.703102, 0.071979
6.050222, 0.781491
6.924668, 0.956298
10.658789, 2.097686
5.175775, 0.740360
5.483013, 0.740360
6.711965, 1.120823
5.270310, 0.832905
7.373708, 1.151671
9.217134, 0.822622
4.301329, 0.616967
4.017725, 0.493573
4.750369, 0.668380
5.932053, 0.946015
5.033973, 0.740360
4.088626, 0.616967
12.005908, 2.478149
9.737075, 1.737789
6.782866, 1.028278
8.720827, 1.264781
10.989660, 2.467866
8.059084, 1.048843
15.172821, 2.303342
10.800591, 0.935733
13.258493, 0.740360
9.288035, 1.737789
5.766617, 1.038560
6.711965, 0.874036
5.813885, 0.647815
7.870015, 1.100257
7.515510, 1.059126
12.076809, 2.025707
13.896603, 1.820051
11.651403, 1.491003
5.601182, 0.760925
13.731167, 1.706941
8.484490, 1.161954
4.301329, 0.730077
11.580502, 1.326478
8.579025, 1.223650
6.097489, 0.164524
7.184638, 1.254499
15.054653, 2.827763
6.428360, 0.832905
7.988183, 1.408740
13.234860, 1.542416
11.273264, 1.419023
12.644018, 1.264781
11.415066, 1.727506
8.082718, 1.038560
9.240768, 1.511568
10.233383, 1.223650
7.704579, 0.884319
14.322009, 2.077121
12.194978, 1.778920
6.239291, 0.205656
11.698671, 1.182519
10.635155, 0.329049
4.395864, 0.534704
4.206795, 0.637532
5.010340, 0.627249
8.862629, 1.264781
4.608567, 0.966581
4.750369, 0.668380
12.809453, 0.503856
6.121123, 0.987147
10.895126, 0.287918
7.019202, 1.233933
13.305761, 2.385604
11.202363, 1.922879
4.324963, 0.411311
4.183161, 0.606684
12.596750, 1.285347
4.466765, 0.627249
9.784343, 1.717224
16.378139, 2.580977
6.262925, 0.791774
5.790251, 0.925450
5.553914, 0.802057
15.409158, 2.827763
12.549483, 2.282776
12.549483, 2.262211
6.310192, 0.771208
10.895126, 2.046272
7.940916, 1.100257
5.861152, 0.730077
10.706056, 1.645244
4.844904, 0.606684
4.986706, 0.658098
12.667651, 1.748072
4.561300, 0.647815
7.657312, 0.627249
4.963072, 0.853470
12.194978, 1.768638
13.802068, 1.511568
7.019202, 1.233933
6.806499, 1.017995
16.378139, 2.570694
7.444609, 1.161954
7.680945, 1.203085
6.121123, 1.233933
4.679468, 0.637532
